Word	SAT	GSL	Og350	Og850	OgInt	OgNSt	Sw35	Sw207	Fry1k	Ox3k
accelerate_V	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acceleration	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
acceleration_N	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
accent 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
accent _N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
accentuate	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accentuate_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accept	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accept_V	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accept 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
accept _V	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
acceptable 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
acceptable _J	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
acceptance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
acceptance_N	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
access 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
access _N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
accessible	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accessible_J	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accessory	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
accessory_N	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
accessory_J	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accident	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
accident_N	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
accident 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
accident _N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
accidental 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
accidental _J	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
accidentally 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
accidentally _A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
acclaim	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acclaim_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acclaim_V	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acclimate	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acclimate_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acclivity	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acclivity_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accolade	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accolade_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accommodate	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accommodate_V	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accompany 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
accompany _V	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
accomplice	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accomplice_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accord	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accord_N	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
according 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
according _V	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
accost	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accost_V	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
account	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
account_N	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
account 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
account _N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
accoutre	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accoutre_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accoutrements	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accoutrements_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accretion	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accretion_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accrual	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accrual_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accrue	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accrue_V	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accurate 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
accurate _J	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
accurately 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
accurately _A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
accuse	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accuse_V	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accuse 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
accuse _V	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
accustom	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accustom_N	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acerbic	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acerbic_J	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acerbity	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acerbity_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acetic	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acetic_J	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ache	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ache_N	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
achieve 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
achieve _V	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
achievement 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
achievement _N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
acid	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
acid_N	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
acid 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
acid _N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
acidulous	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acidulous_J	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acknowledge	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acknowledge_V	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acknowledge 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
acknowledge _V	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
acme	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acme_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acoustics	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acoustics_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acquid	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acquid_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acquiesce	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acquiesce_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acquiescence	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acquiescence_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acquiescent	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acquiescent_J	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acquire	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acquire_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acquire 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
acquire _N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
acquit	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acquit_V	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acquittal	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acquittal_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acrid	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acrid_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acrimonious	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acrimonious_J	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acrophobia	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acrophobia_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
across	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
across_IN	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
across 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
across _IN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
act	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
act_N	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
act 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
act _V	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
action	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
action_N	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
action 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
action _N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
active	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
active_J	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
active 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
active _J	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
actively 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
actively _A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
activist 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
activist _J	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
activity 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
activity _N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
actor	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
actor_N	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
actor 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
actor _N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
actress	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
actress_N	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
actress 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
actress _N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
actual	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
actual_J	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
actual 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
